"country","currency","account_fee","transfer_fee_percentage","payout_fee_flat","payout_fee_percentage"
"AL","all","25000","0.01","4100","0.0025"
"DZ","dzd","31000","0.01","5000","0.0025"
"AO","aoa","93000","0.01","15000","0.0025"
"AG","xcd","500","0.01","100","0.0025"
"AR","ars","17000","0.005","4500","0.0025"
"AM","amd","104500","0.01","17000","0.0025"
"AU","aud","200","0.01","25","0.0025"
"AT","eur","200","0.0025","10","0.0025"
"AZ","azn","500","0.01","100","0.0025"
"BS","bsd","200","0.01","25","0.0025"
"BH","bhd","100","0.01","50","0.0025"
"BD","bdt","18500","0.0075","3000","0.0025"
"BE","eur","200","0.0025","10","0.0025"
"BJ","xof","126000","0.01","20000","0.0025"
"BT","btn","16000","0.01","2600","0.0025"
"BO","bob","1400","0.0075","350","0.0025"
"BA","bam","500","0.01","100","0.0025"
"BW","bwp","2500","0.01","450","0.0025"
"BR","brl","700","0.0","67","0.0025"
"BN","bnd","500","0.01","50","0.0025"
"BG","bgn","400","0.01","60","0.0025"
"KH","khr","900000","0.01","144000","0.0025"
"CA","cad","200","0.0025","25","0.0025"
"CI","xof","126000","0.01","20000","0.0025"
"CL","clp","150000","0.0075","35000","0.0025"
"CO","cop","700000","0.0075","170000","0.0025"
"CR","crc","120000","0.005","30000","0.0025"
"HR","eur","200","0.0025","10","0.0025"
"CY","eur","200","0.0025","10","0.0025"
"CZ","czk","5000","0.0025","800","0.0025"
"DK","dkk","1500","0.005","500","0.0025"
"DO","dop","12000","0.005","3000","0.0025"
"EC","usd","200","0.01","25","0.0025"
"EG","egp","3200","0.0075","800","0.0025"
"SV","usd","200","0.01","25","0.0025"
"EE","eur","200","0.0025","10","0.0025"
"ET","etb","11500","0.01","1900","0.0025"
"FI","eur","200","0.0025","10","0.0025"
"FR","eur","200","0.0025","10","0.0025"
"GA","xaf","141000","0.01","23000","0.0025"
"GM","gmd","11500","0.01","1850","0.0025"
"DE","eur","200","0.0025","10","0.0025"
"GH","ghs","1500","0.01","250","0.0025"
"GI","gbp","200","0.0025","10","0.0025"
"GR","eur","200","0.0025","10","0.0025"
"GT","gtq","1500","0.01","300","0.0025"
"GY","gyd","45500","0.01","7500","0.0025"
"HK","hkd","1500","0.005","500","0.0025"
"HU","huf","60000","0.0025","10000","0.0025"
"IS","eur","200","0.0025","10","0.0025"
"IN","inr","15000","0.0075","2000","0.0025"
"ID","idr","2800000","0.005","700000","0.0025"
"IE","eur","200","0.0025","10","0.0025"
"IL","ils","650","0.005","160","0.0025"
"IT","eur","200","0.0025","10","0.0025"
"JM","jmd","33500","0.005","5500","0.0025"
"JP","jpy","20000","0.01","25000","0.0025"
"JO","jod","150","0.01","25","0.0025"
"KE","kes","24000","0.0075","3900","0.0025"
"KW","kwd","100","0.01","50","0.0025"
"KZ","kzt","103500","0.01","17000","0.0025"
"LA","lak","3290000","0.01","528000","0.0025"
"LV","eur","200","0.0025","10","0.0025"
"LI","chf","200","0.0025","55","0.0025"
"LT","eur","200","0.0025","10","0.0025"
"LU","eur","200","0.0025","10","0.0025"
"MO","mop","1500","0.01","300","0.0025"
"MG","mga","895000","0.01","144000","0.0025"
"MY","myr","600","0.01","150","0.0025"
"MT","eur","200","0.0025","10","0.0025"
"MU","mur","9500","0.01","1500","0.0025"
"MX","mxn","3500","0.0025","1200","0.0025"
"MD","mdl","4000","0.01","650","0.0025"
"MC","eur","200","0.0025","10","0.0025"
"MN","mnt","690000","0.01","111000","0.0025"
"MZ","mzn","14000","0.01","2300","0.0025"
"MA","mad","2000","0.005","350","0.0025"
"NA","nad","3500","0.01","500","0.0025"
"NE","xof","126000","0.01","20000","0.0025"
"NG","ngn","90000","0.01","14500","0.0025"
"NL","eur","200","0.0025","10","0.0025"
"NZ","nzd","200","0.005","25","0.0025"
"MK","mkd","12000","0.01","1900","0.0025"
"NO","nok","1500","0.0025","500","0.0025"
"OM","omr","100","0.01","50","0.0025"
"PK","pkr","45000","0.01","7500","0.0025"
"PA","usd","200","0.01","25","0.0025"
"PY","pyg","1400000","0.0075","350000","0.0025"
"PE","pen","700","0.0125","180","0.0025"
"PH","php","11000","0.01","1800","0.0025"
"PL","pln","900","0.005","135","0.0025"
"PT","eur","200","0.0025","10","0.0025"
"QA","qar","1000","0.01","150","0.0025"
"RO","ron","1000","0.0075","150","0.0025"
"RW","rwf","225000","0.01","36500","0.0025"
"SM","eur","200","0.0025","10","0.0025"
"SA","sar","1000","0.01","150","0.0025"
"SN","xof","126000","0.01","20000","0.0025"
"RS","rsd","22000","0.01","3500","0.0025"
"SG","sgd","200","0.005","50","0.0025"
"SK","eur","200","0.0025","10","0.0025"
"SI","eur","200","0.0025","10","0.0025"
"ZA","zar","3500","0.005","550","0.0025"
"KR","krw","254000","0.01","41000","0.0025"
"ES","eur","200","0.0025","10","0.0025"
"LK","lkr","78500","0.01","13000","0.0025"
"LC","xcd","500","0.01","100","0.0025"
"SE","sek","1500","0.0025","500","0.0025"
"CH","chf","200","0.0025","55","0.0025"
"TW","twd","6500","0.01","1100","0.0025"
"TZ","tzs","505000","0.01","81500","0.0025"
"TH","thb","6000","0.005","1500","0.0025"
"TN","tnd","500","0.005","150","0.0025"
"TT","ttd","1400","0.005","340","0.0025"
"TR","try","2000","0.0075","350","0.0025"
"AE","aed","750","0.01","550","0.0025"
"GB","gbp","200","0.0025","10","0.0025"
"US","usd","200","0.0","25","0.0025"
"UY","uyu","8500","0.0075","2000","0.0025"
"UZ","uzs","2350000","0.01","380000","0.0025"
"VN","vnd","5000000","0.01","800000","0.0025"
